DATE,EXGEUS_PCH
1990-11-01,-2.50033
1990-12-01,0.84135
1991-01-01,0.72754
1991-02-01,-1.89517
1991-03-01,8.89564
1991-04-01,5.61345
1991-05-01,1.01016
1991-06-01,3.65719
1991-07-01,0.13462
1991-08-01,-2.33587
1991-09-01,-2.87927
1991-10-01,-0.23623
1991-11-01,-4.05493
1991-12-01,-3.56614
1992-01-01,1.01088
1992-02-01,2.52090
1992-03-01,2.65662
1992-04-01,-0.74025
1992-05-01,-1.62493
1992-06-01,-3.07550
1992-07-01,-5.16342
1992-08-01,-2.94354
1992-09-01,0.26943
1992-10-01,2.32190
1992-11-01,6.89516
1992-12-01,-0.33386
1993-01-01,2.03514
1993-02-01,1.67245
1993-03-01,0.31680
1993-04-01,-3.04871
1993-05-01,0.67026
1993-06-01,2.96186
1993-07-01,3.68647
1993-08-01,-1.24148
1993-09-01,-4.27880
1993-10-01,1.14680
1993-11-01,3.65742
1993-12-01,0.58806
1994-01-01,1.87664
1994-02-01,-0.40744
1994-03-01,-2.56986
1994-04-01,0.44355
1994-05-01,-2.46703
1994-06-01,-1.77483
1994-07-01,-3.66910
1994-08-01,-0.17864
1994-09-01,-0.99067
1994-10-01,-1.91079
1994-11-01,1.32280
1994-12-01,2.07846
1995-01-01,-2.63426
1995-02-01,-1.82983
1995-03-01,-6.39728
1995-04-01,-1.77086
1995-05-01,2.05618
1995-06-01,-0.59591
1995-07-01,-0.89923
1995-08-01,4.10485
1995-09-01,1.00304
1995-10-01,-3.13677
1995-11-01,0.21212
1995-12-01,1.64397
1996-01-01,1.58962
1996-02-01,0.23232
1996-03-01,0.72943
1996-04-01,1.81375
1996-05-01,1.86121
1996-06-01,-0.27408
1996-07-01,-1.68172
1996-08-01,-1.32446
1996-09-01,1.71321
1996-10-01,1.30637
1996-11-01,-1.04078
1996-12-01,2.69216
1997-01-01,3.36232
1997-02-01,4.36219
1997-03-01,1.18827
1997-04-01,1.02089
1997-05-01,-0.41474
1997-06-01,1.34327
1997-07-01,3.83168
1997-08-01,2.56982
1997-09-01,-2.92391
1997-10-01,-1.60676
1997-11-01,-1.43385
1997-12-01,2.68429
1998-01-01,2.11941
1998-02-01,-0.23121
1998-03-01,0.82216
1998-04-01,-0.76620
1998-05-01,-2.09023
1998-06-01,0.98575
1998-07-01,0.26774
1998-08-01,-0.59524
1998-09-01,-4.91913
1998-10-01,-3.58446
1998-11-01,2.72267
1998-12-01,-0.76663
1999-01-01,1.05402
