https://fred.stlouisfed.org/series/IR3TIB01DEM156N

,RATE
1990-11-01,8.88
1990-12-01,9.21
1991-01-01,9.35
1991-02-01,9.08
1991-03-01,9.09
1991-04-01,9.18
1991-05-01,9.08
1991-06-01,9.06
1991-07-01,9.15
1991-08-01,9.31
1991-09-01,9.27
1991-10-01,9.38
1991-11-01,9.43
1991-12-01,9.58
1992-01-01,9.53
1992-02-01,9.61
1992-03-01,9.7
1992-04-01,9.75
1992-05-01,9.79
1992-06-01,9.75
1992-07-01,9.78
1992-08-01,9.88
1992-09-01,9.5
1992-10-01,8.94
1992-11-01,8.94
1992-12-01,9.04
1993-01-01,8.59
1993-02-01,8.4
1993-03-01,7.98
1993-04-01,7.92
1993-05-01,7.51
1993-06-01,7.6
1993-07-01,7.24
1993-08-01,6.61
1993-09-01,6.63
1993-10-01,6.64
1993-11-01,6.31
1993-12-01,6.11
1994-01-01,5.89
1994-02-01,5.91
